sequence,Restaurant_Name,Place_ID,Address,Category,"AI_Summary
_Pros",AI_Summary_Cons,Must_Try_Dishes,"Kaki_Maka
n_Tip
(Where the
Soul Is)",Status
11,Jojoen Yakiniku Sri Petaling,ChIJUf28FQBLzDERgU7CqOemi9A,"7-G, Jalan Radin Bagus, Bandar Baru Sri Petaling, 57000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Japanese BBQ,"There are two options, beef and pork, but I highly recommend the A5 wagyu - it melts in your mouth. Top quality and great taste.","The store is very cost-effective. The atmosphere is warm and comfortable, the service is enthusiastic and efficient, and the staff will help with the barbecue.","Beef rice set, eel sushi, roast beef, salmon head","Hey, do you want to experience Japanese BBQ? Come to this restaurant! There are grilled beef and pork, and the waiter will help you grill! You don't have to do it yourself, and the price-performance ratio is super high!",Processed
12,Krua Thai Moo-Ka-Ta Restaurant,ChIJ6-XxAv1LzDER-HzEeqiNQM4,"38G, Jalan Radin Anum, Bandar Baru Sri Petaling, 57000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Thai restaurants,"The BBQ platter had a huge amount of meat, the best Tom Yam noodle soup, creamy and spicy","The waiters are very polite and friendly. The food is slow to serve during peak hours. It is open until late, which is very suitable for late-night snacks. Authentic Thai flavors and reasonable prices","Tom yam noodle soup, pad thai, somtam, Thai tea","Hey, do you want to experience authentic Thai food late at night? Then come to this restaurant. The rice noodles and noodle soup are super delicious, but you need to avoid peak hours, otherwise you will have to wait a long time!",Processed
13,Yosen Japanese Shabu Shabu Sri Petaling,ChIJ40_g1d1LzDERL6bR6lgZ_AQ,"20, Jalan Radin Bagus 9, Bandar Baru Sri Petaling, 57000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Japanese buffet,"The golden soup is creamy and rich, the shrimp paste is fresh and chewy, and the red bean soup has a thick and satisfying texture.","The environment is very good, the food selection is fresh and delicious, the staff is very attentive, the atmosphere is very comfortable, and you can get a 50% birthday discount on your birthday.","Pork slices, seafood, Japanese spicy soup,Sushi, dessert","Hey, if you are a hot pot lover, YOSEN is a must-go place! It has a variety of soup bases to choose from, and you can upgrade to an unlimited seafood meal. It is very cost-effective and the atmosphere in the store is also very good!",Processed
14,House of Pok,ChIJ4wX3OUNLzDERwnq54yL6Dto,"Ground Floor, G12, Pinnacle Sri Petaling Mall, Jalan Radin Anum 1, Bandar Baru Sri Petaling, 57000 Kuala Lumpur, Federal Territory of Kuala Lumpur",Chinese Restaurant,"The crispy fried tofu skin was delicious, the Nanyou pork was fried crispy, and the honey chicken had a light flowing sauce","In the mall, the environment is comfortable, the decoration is exquisite, the dishes are rich in variety and the atmosphere is friendly.","Nanyou pork, wolfberry tea, Nanxu pork, minced meat and eggplant","Hey, are you craving for pork? Then come to this fancy pork restaurant! There are various set meals to choose from, the environment is clean and the price/performance ratio is super high!",Processed
15,Meat One Cuisine • Sri Petaling,ChIJL8S0ruFLzDERu2jmdZdHxCY,"36E, 36E &, 1, Jalan Radin Anum, Bandar Baru Sri Petaling, 57000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Western Restaurant,"The butter garlic herb fish and chips were crispy but slightly greasy, and the salted egg sauce was rich. The drinks were very refreshing","The staff in the store are very friendly,andthe food portions are big and good value for money, free dessert on birthdays and RM5 voucher for every RM50 spent.","Black pepper chicken fillet, smoked duck macaroni and cheese, English fish and chips","Hey, do you want to eat local Western food? Then come to this restaurant! The service is great! There are also birthday activities, pizza, hamburgers, fried chicken, all kinds of Western food, and the environment is also great!",Processed
16,Tao Gie Teow Chew Porridge,ChIJgyUmbABLzDERTEgf2oaVUpY,"31, Jalan Radin Anum, Bandar Baru Sri Petaling, 57000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Porridge shop,"The skin of the pig's feet is also fat but not greasy, and some pickled vegetables are added to the rice, which is delicious. The porridge is just the right thickness.","The environment is cozy and the service is very friendly, parking can be a bit of a hassle, the menu is limited but the food is delicious.","Braised pork trotter rice, braised large intestine, braised tofu, fried green beans","Hey, do you want to eat Chaoshan porridge? Then come to this restaurant! The porridge tastes just right, and there are also braised specialties. Of course, the environment and service are also good! The only thing to note is that parking may be a bit troublesome.",Processed
17,GU ON Korean BBQ,ChIJOXOEA99LzDERBnZkihCC_hQ,"22, Jln Radin Bagus 8, Bandar Baru Sri Petaling, 57000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Korean restaurant,"The pork bone soup was outstanding, the meat was full and tasty. The vegetable salad was fresh and sweet","The waiters will grill the meat for you. Free fresh vegetables, sauces, side dishes and tea make your meal worthwhile.","Korean steamed egg, pork bone soup, vegetable salad","Hey, want to eat classic Korean food? Then come to this restaurant! The quality of the meat is very good and the quantity is also large. Although the price may be a little expensive, the service will personally grill the meat for you!",Processed
18,Ibérican Noodle House,ChIJ9TxbakRLzDER_gqgnUHbPjg,"43 &, 45, Jalan Radin Anum, Bandar Baru Sri Petaling, 57000 Wilayah Persekutuan, Federal Territory of Kuala Lumpur",Chinese Restaurant,"The pork was juicy, tender, and perfectly cooked and seasoned, and went really well with the noodles.","The restaurant is well lit, the service is good besides the spotless floors and clean environment, but parking can be a bit difficult","Pork chop rice, pork noodles, herbal bak kut teh, braised iberico tripe","Hey, want to eat classic Chinese noodles? Then come to this restaurant! The restaurant environment and service are very good, and the cooking and seasoning have unique flavors, but you have to arrive early, parking will be a little difficult.",Processed
19,GOGO STEAMBOAT RESTAURANT,ChIJZf4-CXZLzDERYFuxqtAlvl8,"38E-G, Jalan Radin Anum, Bandar Baru Sri Petaling, 57000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Hot Pot Restaurant,"Winter melon and coconut spicy hotpot is spicy and fragrant but not hot, it has the sweetness of pork broth base.",You can eat hot pot while watching a movie. The service is first-class and the seats are very comfortable. You may need to arrive early for parking.,"Fried rice, signature dumplings, shrimp paste, coconut and winter melon soup","Hey, do you want to eat special hot pot? Then come to this restaurant! You can eat hot pot while watching a movie. The soup base is very delicious and the ingredients are also grown by the store itself, but you need to arrive early to park.",Processed
20,Zakuro Japanese Restaurant (Sri Petaling),ChIJN03QElVNzDERgOGxQhn8MjA,"133-1, Jalan Radin Bagus, Bandar Baru Sri Petaling, 57000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Japanese Restaurant,"Chicken Teppanyaki and Sashimi platter. The taste was great, not too strong or spicy. The sashimi was also good and relatively fresh.","Friendly and patient staff, large portions, great atmosphere with background music, moderate prices","Chicken Teppanyaki, Sashimi Platter, Sashimi, Eel, Mentai Udon","Hey, do you want to eat Japanese food? Then come to this restaurant! Sushi, rice, noodles, Tom Yum Goong soup, a complete Japanese food combination! There is also background music in the store, and the price is moderate, it's perfect!",Processed
21,Hong Fu Lou Dim Sum,ChIJ41jtIyJLzDER-0CrGXstjKU,"1, Jln Radin Bagus 7, Bandar Baru Sri Petaling, 57000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Chinese Dim Sum,"Crispy fried rolls and fish sauce stuffed eggplant, rich sauce. Fruit sago dessert, refreshing and not sweet","The service is fast and friendly, and the environment is clean and comfortable, but it may be crowded during peak hours when there are more guests.","Yam crisps, rice noodle rolls, fried rolls and eggplant stuffed with fish sauce","Hey, do you want to eat special Cantonese dim sum? Then come to this restaurant! Rice noodle rolls, shrimp dumplings, fried food, siu mai, etc. It's perfect for breakfast! The service is very good, but avoid peak hours, it will be crowded",Processed
22,Uncle Jang Korean Restaurant,ChIJd7O1s4lKzDEROFL4cNpzGPc,"149, Jalan Radin Bagus, Bandar Baru Sri Petaling, 57000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Korean Restaurant,"The portions can be huge, and the crispy kimchi pancakes, spicy chicken and chicken feet are all very delicious.","The quality and taste are very good, excellent service, free desserts and drinks. There is no air conditioning in the store, it may be hot","Teppanyaki chicken, ramen, cheese, squid, fried chicken","Hey, want to eat authentic Korean food? Then come to this restaurant! The mixture of chicken and pork, plus cheese ramen, is so delicious! The two Korean store managers are also very good at serving. Such a perfect store will be crowded, so you need to wait!",Processed
23,D'Nats • Sri Petaling,ChIJ74Ylro5KzDERH9XbWaY3fAg,"5, Jalan Radin Anum, Bandar Baru Sri Petaling, 57000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Malaysian restaurants,"Their nasi lemak comes with an egg, ikanbilis and peanuts, the beef is super tender. The sambal is ok but lacks spiciness.","Attentive staff, fast service, and very cheap and affordable. The location is right on the roadside. There are quite a lot of seats. The store is very clean and comfortable. Convenient parking","Nasi lemak, lobster, beef, sizzling tofu, sizzling tofu","Hey, want to eat authentic local food? Then come to this restaurant! Delicious nasi lemak, tender beef, not too spicy! There are seats on the roadside, very down-to-earth, and there are parking spaces, super convenient!",Processed
24,SUSHI PLUS (Sri Petaling),ChIJQY_J8QlLzDERt6xzAji8F6E,"61G, Jalan Radin Bagus, Bandar Baru Sri Petaling, 57000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Japanese Restaurant,"The sushi tastes good, the price is affordable, the ingredients are fresh, and you can buy wasabi and mayonnaise","The service at the counter was very friendly, and the sauces, hot water, cutlery were all at the counter for self-service. Absolutely comfortable chairs and sturdy tables and cool air conditioning","Salmon roll, eel roll, various sushi, mayonnaise","Hey, do you want to eat sushi? Then come to this restaurant! There are all kinds of sushi, wasabi, and various sauces. It is super delicious. You can take it away or eat in. It is very convenient!",Processed
25,Yakitori Haki @ Bukit Jalil,ChIJb1c6gjZLzDERyBnU-XDH018,"C-03-G, The Link 2, The Link, 2, Jalan Jalil Perkasa 1, Bukit Jalil, 57000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Japanese Restaurant,"The atmosphere of the restaurant is like being in a Japanese drama scene. The salmon sashimi is thickly cut, melts in your mouth, and is extremely tender.","The service is friendly and efficient, the prices are very fair, the quality and quantity are just right, the restaurant is decorated with red lanterns and colorful walls","Sizzling corn, mackerel, curry udon, yakitori, barbecued pork, deep-fried pork cutlet","Hey, do you want to eat authentic Japanese food? Then come to this restaurant! The environment can take you directly to Japan, with sushi, sashimi, fried food, and tea rice, a strong Japanese atmosphere!",Processed
26,Yang’s Braised Chicken Rice,ChIJoz8xM85LzDERvdkfJFdWOXs,"5.26.00 Level 5,Pavilion, Pavilion, 2, Persiaran Jalil 8, Bukit Jalil, 57000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Chinese Restaurant,The chicken is tender and the sauce is rich. It is served with unlimited white rice and three free drinks.,"The environment is good, in the mall, parking is very convenient, cost-effective, although you can add rice for free, but the rice tastes not as good as before","Braised Chicken with Rice, Signature Braised Chicken and Braised Chicken with Rice","Hey, want to eat authentic Chinese braised chicken? Then come to this restaurant! The soup base is thick and the chicken is tender! Free rice and three free drinks! Super cost-effective!",Processed
27,Flower Girl Coffee @ Pavilion Bukit Jalil,ChIJy_nsCn1LzDER5nRfsMlTO2o,"Lot 5.80.00 & P5.19.01, Pusat Bandar, Pavilion @, 2, Persiaran Jalil Utama, Bukit Jalil, 57000 Kuala Lumpur",Western Restaurant,"The mushroom soup was amazing! Not too thick, not too watery. The bread was crispy on the outside and soft on the inside","The food and service were great, the venue was comfortable, the food portions were large, the air conditioning was just the right temperature, and parking was convenient","Macaroni, cheese sauce, grilled mackerel with fried rice","Hey, want to have brunch? Then come to this place! There are delicious bread and delicious mushroom soup! No need to worry about parking, and the service is also super good!",Processed
28,Manjoe Taiwanese Dumplings,ChIJu-XL4shLzDERfNp8LHMI9Ng,"Pavilion, Orange Zone, Lot 1.20.00, Level 1, Persiaran Jalil Utama, Bukit Jalil, 57000 Kuala Lumpur, Federal Territory of Kuala Lumpur",Taiwan Restaurant,"The food was delicious and the portions were huge, the broth was rich and the noodles were cooked to perfection and al dente.","The set meal is affordable, the portion is sufficient, the food is reasonably priced, the store is clean and tidy, and parking is convenient","Minced chicken with pumpkin noodle soup, tomato noodle soup, with chicken meatballs or shrimp","Hey, want to eat authentic Taiwanese food? Then come to this place! There are delicious dumplings and minced meat rice! The environment is very clean, no need to worry about parking, and the service of the staff is also super good!",Processed
29,Mo-Mo Paradise - Pavilion Bukit Jalil,ChIJAfq3BaNLzDERDZpl0ZI0Km0,"Lot No 3.81.00, Level 3 Pavilion Bukit Jalil, 2, Persiaran Bukit Jalil 8, Bandar Bukit Jalil, 57000 Kuala Lumpur",Japanese Restaurant,"The pork and beef slices are super delicious. Perfect with the sukiyaki soup. Dipped in raw egg, it tastes great","The staff is very friendly, they will help you show how to cook, the environment is comfortable, the ingredients are fresh, the background music can be a bit loud.","Pork, beef slices, sukiyaki soup","Hey, do you want to eat Japanese sukiyaki? Then come to this place! There are professional waiters to demonstrate how to cook! Let you experience how to cook firsthand, and the environment is also very good, but the background may be a bit noisy, so be prepared!",Processed
30,Tien Xia Bukit Jalil Restaurant,ChIJazc8nhBLzDERhprJmhtE5F4,"C-1-4, Aurora Place, Persiaran Jalil 1, Bukit Jalil, 57000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Chinese Restaurant,"The steamed red fish with oranges is very tender, sweet and sour and delicious, and goes well with rice. The beef with green onion and ginger is also delicious, and the preserved radish egg is very authentic.","The food is delicious, the service is fast, and the price is very reasonable! Very suitable for large groups of people to dine together. The environment is clean and comfortable, and the staff are also very friendly","Steamed red snapper with orange, beef with scallion and ginger, preserved radish and egg","Hey, do you want to eat home-cooked Chinese seafood? Then come to this place! A variety of seafood dishes are available, and they are more delicious than home-cooked dishes. It is very suitable for group dinners!",Processed
31,Pentos & Basil,ChIJp4tXfKdLzDERXeLYXquCAbw,"C-1-9, Aurora Place, Persiaran Jalil 1, Bandar Bukit Jalil, 57000 Wp, Wilayah Persekutuan Kuala Lumpur",Italian Restaurant,The mushroom soup was rich and creamy and the bread on the side was great - very fresh and perfect for dipping,"The interior is nicely decorated, free wifi, the facilities are clean and comfortable, and the air conditioning is great.","Vietnamese fish sauce pasta, beef bourguignon fettuccine, Spanish shrimp tapas","Hey, want to eat authentic Italian food? Then come to this place! The interior environment is beautiful, perfect for checking in, and there is free WiFi. There are creamy mushroom soup, pasta, and fried salmon, which can be used as a delicious lunch!",Processed
32,Grandmama's (Pavilion Bukit Jalil),ChIJHYqNc9FLzDEREDgcV42PIHs,"Lot 1.34.00 Level 1, Pavilion, Bandar Bukit Jalil, 2, Persiaran Jalil 8, Bukit Jalil, 57000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Malaysian restaurants,"The Kung Fu Kway Teow is not even as good as the ones from the hawker shops... I felt like I was eating mostly flour, not much vegetables or meat. Not much flavor.",I thought it was expensive too. The storefront felt like a gimmick and the quality was average.,"Chicken rice, assam laksa, beef hor fun, Cantonese fried kway teow, rice noodles","Hey, do you want to eat local food? This store is not recommended enough. Some customers reported that the price is good, but the food is not as delicious as the stalls. It is recommended to look at other stores. If you want to try it, you can also try beef rice noodles and Cantonese fried rice noodles~",Processed
33,?n Viet - Pavilion Bukit Jalil,ChIJGVeOYFpLzDERA-kXSRl5DoY,"Lot 1.21.00, Level 1 Pavilion, Persiaran Jalil 8, Bukit Jalil, 57000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Vietnamese Restaurant,"The pho was delicious, the beef slices were tender, the meatballs were juicy, tender and tasty","Authentic Vietnamese cuisine. Focusing on traditional flavours and catering to Malaysian palates, ?n Viet is committed to reducing food waste with its customised portion sizes.","Beef broth, Vietnamese noodles, beef slices","Hey, want to eat authentic Vietnamese food? This restaurant is highly recommended! Not only can you choose the portion, but also the ingredients are exquisite to ensure a rich flavor, and there are various special Vietnamese dishes!",Processed
34,Kam Kee Cafe @ The Tropika,ChIJmQmNGc5LzDERew3pZAZz3EE,"E-G-6, E-1-6, The Tropika, Jalan Jalil Perkasa 3, Bukit Jalil, 57000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Hong Kong Style Tea Restaurant,"The tomato soup (with asparagus) is delicious, and there is beef as the base soup","It has a children's playground but it gets very crowded at lunch time, the environment is airy and pet-friendly, the food is delicious and the portions are good","Boro bread, beef kuey teow, chicken curry rice","Hey, do you want to experience a Hong Kong-style tea restaurant? I recommend this restaurant! Not only does it have Hong Kong specialties, but it also has a children's playground. After dinner, you can also take your children to relax. The atmosphere is very comfortable and the signature food is also very delicious!",Processed
35,Haidilao Hot Pot @ Pavilion Bukit Jalil,ChIJ16N_4aBLzDERGgPiREU6XJ8,"Lot 5.32.00, Level 5, Orange Zone), Pavilion, Persiaran Jalil Utama, Bukit Jalil, 57000 Kuala Lumpur, Federal Territory of Kuala Lumpur",Hot Pot Restaurant,"The spicy hot pot, mushroom soup has a strong earthy flavor, and tomato soup has a strong sour taste","Their service is first class. Although prices can be expensive, they are open till 4am, making them a great place to go after a late night party/concert.","Beef, mutton, crispy pork, brown sugar glutinous rice cake","Hey, do you want to experience the most popular hot pot in China? I recommend this restaurant! Not only can you eat a variety of delicious hot pot, but you can also experience the best service! You can even go there as a midnight snack in the early morning! Choose beef and mutton!",Processed
36,Astana Restaurant,ChIJu016RoVKzDERT8RbZKNv64Q,"A-01-10, Endah Promenade, Jalan 1/149e, Bandar Baru Sri Petaling, 57000 Kuala Lumpur",Kazakhstan Restaurant,"The rice in the pilaf is full of spices and a little oily, but each grain of rice remains firm and is a perfect match with the beef. It is delicious.","Service was great! Portions felt small and overpriced for the price, kitchen can be a bit noisy","Horse meat, borscht, kebabs, pilaf","Hey, do you want to try Kazakh cuisine? I recommend this restaurant! You can eat horse meat and special pilaf! But the atmosphere may not be so good and the kitchen may be noisy",Processed
37,Icon Kitchen Restaurant,ChIJry3uZu9KzDERPMxgELsBAkA,"22A, Jalan Jalil Jaya 6, Bukit Jalil, 57000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Chinese Restaurant,"The pork floss and green beans were delicious and well balanced, the potato leaves and broccoli chicken were a bit old and dry","The interior is simple, but the food stands out for its above-average quality, generous portions and quick service, and there is ample free parking.","Pork ribs stewed with yam, kale and bacon, curry fish with vegetables, yam ring with sweet and sour pork","Hey, do you want to try Chinese private cuisine? I recommend this restaurant! Convenient parking, great taste, and just the right price, but some dishes need to be avoided!",Processed
38,Sushi Koi @ Pavilion Bukit Jalil,ChIJl7OEqMxLzDERaPZYCIjIdW0,"Lot 2.36, 2.37 & 2.80, Level 2 Pavilion Bukit Jalil. 2 Persiaran Jalil 8, Bandar Bukit Jalil Pavilion Bukit Jalil, Bandar Bukit Jalil, 57000 Kuala Lumpur",Japanese Restaurant,"The sashimi was fresh, the tempura was crispy and cooked just right. The saba fish was also good and the portion was surprisingly generous.","The food came out super fast, private rooms can be booked, the staff and service level were great, they were very attentive, there was a doorbell in the room","Cheese chicken potato salad, jellyfish, sushi, salmon sashimi","Hey, do you want to experience the service and privacy of Japanese food? I recommend this restaurant! The waiter is on call, and you can also open a family room for birthdays! There are all kinds of Japanese food, but the price is high",Processed
39,WEN CHEONG RONG HAINAN CAFE,ChIJLzK1qlVLzDERbHEaVF9nrZU,"D-01-06, Aurora Place, Persiaran Jalil 1, Bukit Jalil, 57000 Kuala Lumpur, Federal Territory of Kuala Lumpur",Chinese Restaurant,"The signature Malai Khao is so soft and fluffy! Crispy shrimp roll dim sum, siu mai and chicken sticky rice go perfectly with Hainanese Cham or tea.","The food is very good, the service is fast, the price is reasonable, and each main course comes with a free small drink.","Butter kaya toast, garlic cheese toast, shrimp dumplings and crispy shrimp rolls.","Hey, do you want to experience the most cost-effective brunch? I recommend this restaurant! The various breads are super delicious, the dishes are served quickly, the environment is very good, the price is very reasonable, and the cost-effectiveness is super high!",Processed
40,Ah Ma Jia,ChIJARDvaklLzDER0NuEQWubm8g,"N-13, 1, Jalan Jalil Utama 2, Bukit Jalil, 57000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Asian Restaurants,"Pork chop rice, with two large pieces of pork chop, sunny-side-up egg, cucumber, delicious and juicy! Excellent with curry sauce","Serves ""home cooked"" breakfast, lunch and early dinner at reasonable prices in a nice, if a little noisy, setting. Great service!","XO fried rice rolls, taro cake, curry fish balls, pork chops","Hey, want to experience home-cooked Asian food? I recommend this restaurant! All meals are included! Reasonable price, beautiful environment but a little noisy, and provides a variety of delicious Malaysian dishes!",Processed
41,SHIN WORKSHOP,ChIJUV_vG9lLzDERRVcto_yu_tQ,"UG 25, The Link, 2, Jalan Jalil Perkasa 3, Bukit Jalil, 57000 Kuala Lumpur",Korean Restaurant,"Homemade authentic kimchi, top up RM1 to purchase extra cheese. There are 5 different unlimited side dishes including 3 types of kimchi","Very secluded cafe, nice and clean environment, suitable for a quiet date. But the amount of meat may be a little small.","Korean BBQ set, special kimchi, coffee","Hey, do you want to experience Korean cuisine? This restaurant is average. The location is a bit hidden, but the environment is very good. The price is a bit high, the meat is a bit small, and the price-performance ratio is average, but it is highly recommended if you want to take photos and check in!",Processed
42,Grumpy’s Kitchen,ChIJhxydtz9LzDERZlw2PePsJ_g,"29, Jln Hujan, Taman Overseas Union, 58200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Western Restaurant,"The pork chop was an excellent thick juicy cut, grilled to perfection. Served with a very good sauce, the well marinated meat itself was very tasty but a little sweet","Excellent customer service and good food quality, the restaurant environment is a bit like a coffee shop","Grilled chicken steak, pork steak, fried chicken steak, grilled lamb steak, Thai dip, mushroom soup","Hey, do you want to experience a western restaurant like a coffee shop? I recommend this restaurant! There are many delicious dishes, and there are also various sauces. The environment is also suitable for office work!",Processed
